date,Tisdale Weir RST,Knights Landing RST,Lower Feather RST,Lower Sac RST,Sac Beach Seines,Sac Beach Seines Index,Sac Trawls,Sac Trawls Index,Chipps Island Trawls
2022-01-28,209,203,0,0,0,0,21,21,2
2022-01-29,209,203,0,0,0,0,0,0,0
2022-01-30,209,203,0,0,0,0,21,21,2
2022-01-31,209,203,0,0,21,43.5,21,21,2
2022-02-01,209,203,0,0,0,0,21,21,2
2022-02-02,209,203,0,0,0,0,0,0,0
2022-02-03,209,203,0,0,0,0,0,0,2
2022-02-04,209,203,0,0,21,43.5,0,0,2
2022-02-05,209,203,0,0,0,0,0,0,0
2022-02-06,209,203,0,0,0,0,0,0,0
2022-02-07,209,203,0,0,0,0,21,21,2
2022-02-08,209,203,0,0,21,43.5,21,21,2
2022-02-09,209,203,0,0,0,0,21,21,2
2022-02-10,209,203,0,0,0,0,21,21,2
2022-02-11,209,203,0,0,21,43.5,21,21,2
2022-02-12,209,203,0,0,0,0,0,0,0
2022-02-13,209,203,0,0,0,0,21,21,2
2022-02-14,209,203,0,0,0,0,21,21,2
2022-02-15,209,203,0,0,0,0,21,21,2
2022-02-16,209,203,0,0,0,0,0,0,0
2022-02-17,209,203,0,0,21,43.5,21,21,2
2022-02-18,209,203,0,0,21,43.5,21,21,2
2022-02-19,209,203,0,1,0,0,0,0,0
2022-02-20,209,203,0,1,0,0,21,21,0
2022-02-21,209,203,0,1,0,0,0,0,0
2022-02-22,209,203,0,1,0,0,21,21,2
2022-02-23,209,203,0,1,21,43.5,22,22,2
2022-02-24,209,203,0,1,0,0,22,22,2
2022-02-25,209,203,0,1,21,43.5,22,22,2
2022-02-26,209,203,0,1,0,0,0,0,2
2022-02-27,209,203,0,1,0,0,0,0,2
2022-02-28,209,203,0,1,22,47.5,22,22,2
2022-03-01,209,203,0,1,0,0,22,22,2
2022-03-02,209,203,0,1,22,47.5,22,22,0
2022-03-03,209,203,0,1,0,0,22,22,2
2022-03-04,209,203,0,1,0,0,22,22,2
2022-03-05,209,203,0,1,0,0,0,0,0
2022-03-06,209,203,0,1,0,0,22,22,2
2022-03-07,209,203,0,1,22,47.5,22,22,2
2022-03-08,209,203,0,1,22,47.5,0,0,2
2022-03-09,209,203,0,1,0,0,22,22,0
2022-03-10,209,203,0,1,0,0,22,22,0
2022-03-11,209,0,0,1,0,0,22,22,2
2022-03-12,209,203,0,1,0,0,0,0,0
2022-03-13,209,203,0,1,0,0,22,22,2
2022-03-14,209,203,0,1,0,0,22,22,2
2022-03-15,209,203,0,1,22,47.5,22,22,2
2022-03-16,209,203,0,1,0,0,0,0,0
2022-03-17,209,203,0,1,23,50.2,22,22,4
2022-03-18,209,203,0,1,0,0,22,22,5
2022-03-19,209,204,0,1,0,0,0,0,0
2022-03-20,209,204,0,1,0,0,22,22,6
2022-03-21,209,204,0,1,0,0,22,22,7
2022-03-22,209,204,0,1,23,50.2,22,22,0
2022-03-23,209,204,0,1,23,50.2,0,0,7
2022-03-24,209,204,0,1,0,0,22,22,8
2022-03-25,209,204,0,1,0,0,22,22,8
2022-03-26,209,204,0,1,0,0,0,0,0
2022-03-27,209,204,0,1,0,0,22,22,8
2022-03-28,209,204,0,1,23,50.2,22,22,8
2022-03-29,209,204,0,1,23,50.2,22,22,8
2022-03-30,209,204,0,1,0,0,0,0,0
2022-03-31,209,204,0,1,0,0,22,22,8
2022-04-01,209,204,0,1,0,0,22,22,9
2022-04-02,209,204,0,1,0,0,0,0,0
2022-04-03,210,204,0,1,0,0,22,22,9
2022-04-04,210,204,0,1,23,50.2,22,22,9
2022-04-05,210,204,0,1,0,0,22,22,10
2022-04-06,210,204,0,1,23,50.2,0,0,0
2022-04-07,210,204,0,1,0,0,22,22,10
2022-04-08,210,204,0,1,0,0,22,22,10
2022-04-09,210,204,0,1,0,0,0,0,0
2022-04-10,210,204,0,1,0,0,22,22,10
2022-04-11,210,204,0,1,0,0,22,22,10
2022-04-12,210,204,0,1,23,50.2,22,22,10
2022-04-13,210,204,0,1,0,0,0,0,0
2022-04-14,210,204,0,1,0,0,22,22,10
2022-04-15,210,204,0,1,23,50.2,22,22,10
2022-04-16,210,204,0,1,0,0,0,0,0
2022-04-17,210,204,0,1,0,0,22,22,10
2022-04-18,210,204,0,1,0,0,22,22,10
2022-04-19,210,204,0,1,23,50.2,22,22,10
2022-04-20,210,204,0,1,23,50.2,0,0,0
2022-04-21,210,204,0,1,0,0,22,22,10
2022-04-22,210,204,0,1,0,0,22,22,10
2022-04-23,210,204,0,1,0,0,0,0,0
2022-04-24,210,204,0,1,0,0,22,22,10
2022-04-25,210,204,0,1,0,0,22,22,10
2022-04-26,210,204,0,1,23,50.2,22,22,10
2022-04-27,210,204,0,1,23,50.2,0,0,0
2022-04-28,210,204,0,1,0,0,22,22,0
2022-04-29,210,204,0,1,0,0,22,22,10
2022-04-30,210,204,0,1,0,0,0,0,0
2022-05-01,210,204,0,1,0,0,22,22,10
2022-05-02,210,204,0,1,0,0,22,22,10
2022-05-03,210,204,0,1,0,0,22,22,10
2022-05-04,210,204,0,1,23,50.2,0,0,0
2022-05-05,210,204,0,1,0,0,22,22,10
2022-05-06,210,204,0,1,23,50.2,22,22,10
2022-05-07,210,204,0,1,0,0,0,0,0
2022-05-08,210,204,0,1,0,0,22,22,0
2022-05-09,210,204,0,1,0,0,22,22,10
2022-05-10,210,204,0,1,0,0,22,22,10
2022-05-11,210,204,0,1,23,50.2,0,0,10
2022-05-12,210,204,0,1,0,0,22,22,10
2022-05-13,210,204,0,1,0,0,22,22,10
2022-05-14,0,204,0,1,0,0,0,0,0
2022-05-15,0,204,0,1,0,0,0,0,0
2022-05-16,0,204,0,1,23,50.2,22,22,0
2022-05-17,0,0,0,0,0,0,0,0,10
2022-05-18,0,0,0,1,0,0,22,22,10
2022-05-19,0,0,0,1,23,50.2,0,0,0
2022-05-20,0,0,0,1,0,0,22,22,10
2022-05-21,0,0,0,1,0,0,0,0,0
2022-05-22,0,0,0,1,0,0,0,0,0
2022-05-23,0,0,0,1,0,0,0,0,10
2022-05-24,0,0,0,1,23,50.2,22,22,0
2022-05-25,0,0,0,1,0,0,22,22,10
2022-05-26,0,0,0,1,23,50.2,0,0,0
2022-05-27,0,0,0,0,0,0,22,22,10
2022-05-28,0,0,0,0,0,0,0,0,0
2022-05-29,0,0,0,0,0,0,0,0,0
2022-05-30,0,0,0,1,0,0,0,0,0
2022-05-31,0,0,0,1,0,0,22,22,10
2022-06-01,0,0,0,1,23,50.2,22,22,10
2022-06-02,0,0,0,1,23,50.2,22,22,10
2022-06-03,0,0,0,0,0,0,0,0,0
2022-06-04,0,0,0,0,0,0,0,0,0
2022-06-05,0,0,0,1,0,0,0,0,0
2022-06-06,0,0,0,1,0,0,22,22,10
2022-06-07,0,0,0,1,23,50.2,0,0,0
2022-06-08,0,0,0,1,23,50.2,22,22,10
2022-06-09,0,0,0,0,0,0,0,0,0
2022-06-10,0,0,0,0,0,0,22,22,10
2022-06-11,0,0,0,0,0,0,0,0,0
2022-06-12,0,0,0,0,0,0,0,0,0
2022-06-13,0,0,0,0,23,50.2,22,22,10
2022-06-14,0,0,0,0,0,0,0,0,0
2022-06-15,0,0,0,0,23,50.2,22,22,10
2022-06-16,0,0,0,0,0,0,0,0,0
2022-06-17,0,0,0,0,0,0,22,22,10
2022-06-18,0,0,0,0,0,0,0,0,0
2022-06-19,0,0,0,0,0,0,0,0,0
2022-06-20,0,0,0,0,0,0,0,0,0
2022-06-21,0,0,0,0,23,50.2,0,0,10
2022-06-22,0,0,0,0,23,50.2,22,22,10
2022-06-23,0,0,0,0,0,0,22,22,0
2022-06-24,0,0,0,0,0,0,22,22,10
2022-06-25,0,0,0,0,0,0,0,0,0
2022-06-26,0,0,0,0,0,0,0,0,0
2022-06-27,0,0,0,0,0,0,22,22,10
2022-06-28,0,0,0,0,0,0,0,0,0
2022-06-29,0,0,0,0,0,0,22,22,10
2022-06-30,0,0,0,0,23,50.2,22,22,10
1970-01-01,0,0,0,0,0,0,0,0,0
1970-01-01,0,0,0,0,0,0,0,0,0
1970-01-01,0,0,0,0,0,0,0,0,0
1970-01-01,0,0,0,0,0,0,0,0,0
1970-01-01,0,0,0,0,0,0,0,0,0
