date,Survey,Catch,separate
2021-07-09,Knights Landing RST,0,Other Rotary Screw Traps
2021-07-09,Lower Feather RST,0,Other Rotary Screw Traps
2021-07-09,Lower Sac RST,0,Other Rotary Screw Traps
2021-07-09,Sac Beach Seines,0,Other Rotary Screw Traps
2021-07-09,Sac Trawls,0,Other Rotary Screw Traps
2021-07-09,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-07-09,RBDD Daily,278,Red Bluff Diversion Dam
2021-07-10,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-07-10,Knights Landing RST,0,Other Rotary Screw Traps
2021-07-10,Lower Feather RST,0,Other Rotary Screw Traps
2021-07-10,Lower Sac RST,0,Other Rotary Screw Traps
2021-07-10,Sac Beach Seines,0,Other Rotary Screw Traps
2021-07-10,Sac Trawls,0,Other Rotary Screw Traps
2021-07-10,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-07-10,RBDD Daily,0,Red Bluff Diversion Dam
2021-07-11,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-07-11,Knights Landing RST,0,Other Rotary Screw Traps
2021-07-11,Lower Feather RST,0,Other Rotary Screw Traps
2021-07-11,Lower Sac RST,0,Other Rotary Screw Traps
2021-07-11,Sac Beach Seines,0,Other Rotary Screw Traps
2021-07-11,Sac Trawls,0,Other Rotary Screw Traps
2021-07-11,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-07-11,RBDD Daily,321,Red Bluff Diversion Dam
2021-07-12,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-07-12,Knights Landing RST,0,Other Rotary Screw Traps
2021-07-12,Lower Feather RST,0,Other Rotary Screw Traps
2021-07-12,Lower Sac RST,0,Other Rotary Screw Traps
2021-07-12,Sac Beach Seines,0,Other Rotary Screw Traps
2021-07-12,Sac Trawls,0,Other Rotary Screw Traps
2021-07-12,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-07-12,RBDD Daily,453,Red Bluff Diversion Dam
2021-07-13,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-07-13,Knights Landing RST,0,Other Rotary Screw Traps
2021-07-13,Lower Feather RST,0,Other Rotary Screw Traps
2021-07-13,Lower Sac RST,0,Other Rotary Screw Traps
2021-07-13,Sac Beach Seines,0,Other Rotary Screw Traps
2021-07-13,Sac Trawls,0,Other Rotary Screw Traps
2021-07-13,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-07-13,RBDD Daily,0,Red Bluff Diversion Dam
2021-07-14,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-07-14,Knights Landing RST,0,Other Rotary Screw Traps
2021-07-14,Lower Feather RST,0,Other Rotary Screw Traps
2021-07-14,Lower Sac RST,0,Other Rotary Screw Traps
2021-07-14,Sac Beach Seines,0,Other Rotary Screw Traps
2021-07-14,Sac Trawls,0,Other Rotary Screw Traps
2021-07-14,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-07-14,RBDD Daily,495,Red Bluff Diversion Dam
2021-07-15,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-07-15,Knights Landing RST,0,Other Rotary Screw Traps
2021-07-15,Lower Feather RST,0,Other Rotary Screw Traps
2021-07-15,Lower Sac RST,0,Other Rotary Screw Traps
2021-07-15,Sac Beach Seines,0,Other Rotary Screw Traps
2021-07-15,Sac Trawls,0,Other Rotary Screw Traps
2021-07-15,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-07-15,RBDD Daily,0,Red Bluff Diversion Dam
2021-07-16,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-07-16,Knights Landing RST,0,Other Rotary Screw Traps
2021-07-16,Lower Feather RST,0,Other Rotary Screw Traps
2021-07-16,Lower Sac RST,0,Other Rotary Screw Traps
2021-07-16,Sac Beach Seines,0,Other Rotary Screw Traps
2021-07-16,Sac Trawls,0,Other Rotary Screw Traps
2021-07-16,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-07-16,RBDD Daily,542,Red Bluff Diversion Dam
2021-07-17,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-07-17,Knights Landing RST,0,Other Rotary Screw Traps
2021-07-17,Lower Feather RST,0,Other Rotary Screw Traps
2021-07-17,Lower Sac RST,0,Other Rotary Screw Traps
2021-07-17,Sac Beach Seines,0,Other Rotary Screw Traps
2021-07-17,Sac Trawls,0,Other Rotary Screw Traps
2021-07-17,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-07-17,RBDD Daily,717,Red Bluff Diversion Dam
2021-07-18,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-07-18,Knights Landing RST,0,Other Rotary Screw Traps
2021-07-18,Lower Feather RST,0,Other Rotary Screw Traps
2021-07-18,Lower Sac RST,0,Other Rotary Screw Traps
2021-07-18,Sac Beach Seines,0,Other Rotary Screw Traps
2021-07-18,Sac Trawls,0,Other Rotary Screw Traps
2021-07-18,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-07-18,RBDD Daily,0,Red Bluff Diversion Dam
2021-07-19,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-07-19,Knights Landing RST,0,Other Rotary Screw Traps
2021-07-19,Lower Feather RST,0,Other Rotary Screw Traps
2021-07-19,Lower Sac RST,0,Other Rotary Screw Traps
2021-07-19,Sac Beach Seines,0,Other Rotary Screw Traps
2021-07-19,Sac Trawls,0,Other Rotary Screw Traps
2021-07-19,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-07-19,RBDD Daily,842,Red Bluff Diversion Dam
2021-07-20,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-07-20,Knights Landing RST,0,Other Rotary Screw Traps
2021-07-20,Lower Feather RST,0,Other Rotary Screw Traps
2021-07-20,Lower Sac RST,0,Other Rotary Screw Traps
2021-07-20,Sac Beach Seines,0,Other Rotary Screw Traps
2021-07-20,Sac Trawls,0,Other Rotary Screw Traps
2021-07-20,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-07-20,RBDD Daily,982,Red Bluff Diversion Dam
2021-07-21,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-07-21,Knights Landing RST,0,Other Rotary Screw Traps
2021-07-21,Lower Feather RST,0,Other Rotary Screw Traps
2021-07-21,Lower Sac RST,0,Other Rotary Screw Traps
2021-07-21,Sac Beach Seines,0,Other Rotary Screw Traps
2021-07-21,Sac Trawls,0,Other Rotary Screw Traps
2021-07-21,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-07-21,RBDD Daily,1069,Red Bluff Diversion Dam
2021-07-22,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-07-22,Knights Landing RST,0,Other Rotary Screw Traps
2021-07-22,Lower Feather RST,0,Other Rotary Screw Traps
2021-07-22,Lower Sac RST,0,Other Rotary Screw Traps
2021-07-22,Sac Beach Seines,0,Other Rotary Screw Traps
2021-07-22,Sac Trawls,0,Other Rotary Screw Traps
2021-07-22,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-07-22,RBDD Daily,1112,Red Bluff Diversion Dam
2021-07-23,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-07-23,Knights Landing RST,0,Other Rotary Screw Traps
2021-07-23,Lower Feather RST,0,Other Rotary Screw Traps
2021-07-23,Lower Sac RST,0,Other Rotary Screw Traps
2021-07-23,Sac Beach Seines,0,Other Rotary Screw Traps
2021-07-23,Sac Trawls,0,Other Rotary Screw Traps
2021-07-23,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-07-23,RBDD Daily,1280,Red Bluff Diversion Dam
2021-07-24,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-07-24,Knights Landing RST,0,Other Rotary Screw Traps
2021-07-24,Lower Feather RST,0,Other Rotary Screw Traps
2021-07-24,Lower Sac RST,0,Other Rotary Screw Traps
2021-07-24,Sac Beach Seines,0,Other Rotary Screw Traps
2021-07-24,Sac Trawls,0,Other Rotary Screw Traps
2021-07-24,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-07-24,RBDD Daily,1560,Red Bluff Diversion Dam
2021-07-25,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-07-25,Knights Landing RST,0,Other Rotary Screw Traps
2021-07-25,Lower Feather RST,0,Other Rotary Screw Traps
2021-07-25,Lower Sac RST,0,Other Rotary Screw Traps
2021-07-25,Sac Beach Seines,0,Other Rotary Screw Traps
2021-07-25,Sac Trawls,0,Other Rotary Screw Traps
2021-07-25,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-07-25,RBDD Daily,2022,Red Bluff Diversion Dam
2021-07-26,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-07-26,Knights Landing RST,0,Other Rotary Screw Traps
2021-07-26,Lower Feather RST,0,Other Rotary Screw Traps
2021-07-26,Lower Sac RST,0,Other Rotary Screw Traps
2021-07-26,Sac Beach Seines,0,Other Rotary Screw Traps
2021-07-26,Sac Trawls,0,Other Rotary Screw Traps
2021-07-26,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-07-26,RBDD Daily,2316,Red Bluff Diversion Dam
2021-07-27,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-07-27,Knights Landing RST,0,Other Rotary Screw Traps
2021-07-27,Lower Feather RST,0,Other Rotary Screw Traps
2021-07-27,Lower Sac RST,0,Other Rotary Screw Traps
2021-07-27,Sac Beach Seines,0,Other Rotary Screw Traps
2021-07-27,Sac Trawls,0,Other Rotary Screw Traps
2021-07-27,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-07-27,RBDD Daily,2828,Red Bluff Diversion Dam
2021-07-28,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-07-28,Knights Landing RST,0,Other Rotary Screw Traps
2021-07-28,Lower Feather RST,0,Other Rotary Screw Traps
2021-07-28,Lower Sac RST,0,Other Rotary Screw Traps
2021-07-28,Sac Beach Seines,0,Other Rotary Screw Traps
2021-07-28,Sac Trawls,0,Other Rotary Screw Traps
2021-07-28,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-07-28,RBDD Daily,3263,Red Bluff Diversion Dam
2021-07-29,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-07-29,Knights Landing RST,0,Other Rotary Screw Traps
2021-07-29,Lower Feather RST,0,Other Rotary Screw Traps
2021-07-29,Lower Sac RST,0,Other Rotary Screw Traps
2021-07-29,Sac Beach Seines,0,Other Rotary Screw Traps
2021-07-29,Sac Trawls,0,Other Rotary Screw Traps
2021-07-29,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-07-29,RBDD Daily,3748,Red Bluff Diversion Dam
2021-07-30,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-07-30,Knights Landing RST,0,Other Rotary Screw Traps
2021-07-30,Lower Feather RST,0,Other Rotary Screw Traps
2021-07-30,Lower Sac RST,0,Other Rotary Screw Traps
2021-07-30,Sac Beach Seines,0,Other Rotary Screw Traps
2021-07-30,Sac Trawls,0,Other Rotary Screw Traps
2021-07-30,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-07-30,RBDD Daily,4262,Red Bluff Diversion Dam
2021-07-31,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-07-31,Knights Landing RST,0,Other Rotary Screw Traps
2021-07-31,Lower Feather RST,0,Other Rotary Screw Traps
2021-07-31,Lower Sac RST,0,Other Rotary Screw Traps
2021-07-31,Sac Beach Seines,0,Other Rotary Screw Traps
2021-07-31,Sac Trawls,0,Other Rotary Screw Traps
2021-07-31,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-07-31,RBDD Daily,4473,Red Bluff Diversion Dam
2021-08-01,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-08-01,Knights Landing RST,0,Other Rotary Screw Traps
2021-08-01,Lower Feather RST,0,Other Rotary Screw Traps
2021-08-01,Lower Sac RST,0,Other Rotary Screw Traps
2021-08-01,Sac Beach Seines,0,Other Rotary Screw Traps
2021-08-01,Sac Trawls,0,Other Rotary Screw Traps
2021-08-01,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-08-01,RBDD Daily,4753,Red Bluff Diversion Dam
2021-08-02,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-08-02,Knights Landing RST,0,Other Rotary Screw Traps
2021-08-02,Lower Feather RST,0,Other Rotary Screw Traps
2021-08-02,Lower Sac RST,0,Other Rotary Screw Traps
2021-08-02,Sac Beach Seines,0,Other Rotary Screw Traps
2021-08-02,Sac Trawls,0,Other Rotary Screw Traps
2021-08-02,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-08-02,RBDD Daily,4994,Red Bluff Diversion Dam
2021-08-03,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-08-03,Knights Landing RST,0,Other Rotary Screw Traps
2021-08-03,Lower Feather RST,0,Other Rotary Screw Traps
2021-08-03,Lower Sac RST,0,Other Rotary Screw Traps
2021-08-03,Sac Beach Seines,0,Other Rotary Screw Traps
2021-08-03,Sac Trawls,0,Other Rotary Screw Traps
2021-08-03,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-08-03,RBDD Daily,5505,Red Bluff Diversion Dam
2021-08-04,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-08-04,Knights Landing RST,0,Other Rotary Screw Traps
2021-08-04,Lower Feather RST,0,Other Rotary Screw Traps
2021-08-04,Lower Sac RST,0,Other Rotary Screw Traps
2021-08-04,Sac Beach Seines,0,Other Rotary Screw Traps
2021-08-04,Sac Trawls,0,Other Rotary Screw Traps
2021-08-04,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-08-04,RBDD Daily,6545,Red Bluff Diversion Dam
2021-08-05,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-08-05,Knights Landing RST,0,Other Rotary Screw Traps
2021-08-05,Lower Feather RST,0,Other Rotary Screw Traps
2021-08-05,Lower Sac RST,0,Other Rotary Screw Traps
2021-08-05,Sac Beach Seines,0,Other Rotary Screw Traps
2021-08-05,Sac Trawls,0,Other Rotary Screw Traps
2021-08-05,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-08-05,RBDD Daily,7276,Red Bluff Diversion Dam
2021-08-06,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-08-06,Knights Landing RST,0,Other Rotary Screw Traps
2021-08-06,Lower Feather RST,0,Other Rotary Screw Traps
2021-08-06,Lower Sac RST,0,Other Rotary Screw Traps
2021-08-06,Sac Beach Seines,0,Other Rotary Screw Traps
2021-08-06,Sac Trawls,0,Other Rotary Screw Traps
2021-08-06,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-08-06,RBDD Daily,7745,Red Bluff Diversion Dam
2021-08-07,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-08-07,Knights Landing RST,0,Other Rotary Screw Traps
2021-08-07,Lower Feather RST,0,Other Rotary Screw Traps
2021-08-07,Lower Sac RST,0,Other Rotary Screw Traps
2021-08-07,Sac Beach Seines,0,Other Rotary Screw Traps
2021-08-07,Sac Trawls,0,Other Rotary Screw Traps
2021-08-07,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-08-07,RBDD Daily,8228,Red Bluff Diversion Dam
2021-08-08,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-08-08,Knights Landing RST,0,Other Rotary Screw Traps
2021-08-08,Lower Feather RST,0,Other Rotary Screw Traps
2021-08-08,Lower Sac RST,0,Other Rotary Screw Traps
2021-08-08,Sac Beach Seines,0,Other Rotary Screw Traps
2021-08-08,Sac Trawls,0,Other Rotary Screw Traps
2021-08-08,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-08-08,RBDD Daily,8598,Red Bluff Diversion Dam
2021-08-09,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-08-09,Knights Landing RST,0,Other Rotary Screw Traps
2021-08-09,Lower Feather RST,0,Other Rotary Screw Traps
2021-08-09,Lower Sac RST,0,Other Rotary Screw Traps
2021-08-09,Sac Beach Seines,0,Other Rotary Screw Traps
2021-08-09,Sac Trawls,0,Other Rotary Screw Traps
2021-08-09,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-08-09,RBDD Daily,9838,Red Bluff Diversion Dam
2021-08-10,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-08-10,Knights Landing RST,0,Other Rotary Screw Traps
2021-08-10,Lower Feather RST,0,Other Rotary Screw Traps
2021-08-10,Lower Sac RST,0,Other Rotary Screw Traps
2021-08-10,Sac Beach Seines,0,Other Rotary Screw Traps
2021-08-10,Sac Trawls,0,Other Rotary Screw Traps
2021-08-10,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-08-10,RBDD Daily,10640,Red Bluff Diversion Dam
2021-08-11,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-08-11,Knights Landing RST,0,Other Rotary Screw Traps
2021-08-11,Lower Feather RST,0,Other Rotary Screw Traps
2021-08-11,Lower Sac RST,0,Other Rotary Screw Traps
2021-08-11,Sac Beach Seines,0,Other Rotary Screw Traps
2021-08-11,Sac Trawls,0,Other Rotary Screw Traps
2021-08-11,Chipps Island Trawls,0,Other Rotary Screw Traps
2021-08-11,RBDD Daily,12545,Red Bluff Diversion Dam
2021-08-12,Tisdale Weir RST,0,Other Rotary Screw Traps
2021-08-12,Knights Landing RST,0,Other Rotary Screw Traps
